Image_Number,Eyes,Background,Masks,Headgear,Outfit,Accessory_M,Accessory_F,Gender,TOKEN ID
0,2838,Binary Pink,Cosmos 2,Gold,Yellow Hoodie,Yellow Hoodie,Blue Face Bandana,Blue Face Bandana,Masculine,1
1,3063,Solid White,Brown,Green Tech,White Hoodie,White Hoodie,None,None,Masculine,2
2,2104,Electronic Blue & Yellow,Yellow,Red Tech,Red Bucket Hat,Spiked Black Leather Jacket,None,None,Masculine,3
3,1779,Blue & Black,Deep Fried Abstract,Silver,Pink Hoodie,Pink Hoodie,None,None,Masculine,4
4,448,Electronic Blue,Gray,Red Tech,Tan Fedora,Yellow Jacket,None,None,Feminine ,5
5,2128,Reptile Yellow,Blue Grid,Silver & Black,Red Bucket Hat,Black Coat,None,None,Feminine ,6
6,1656,Solid Red,Deep Fried Abstract,White & Black Tech,Camo Beret,Light Blue Suit,Angel on Shoulders,Angel on Shoulders,Masculine,7
7,706,Blue & Black,Cosmos 1,Gold & Silver,Green Camo Bucket Hat,Red & Gold Coat,None,None,Feminine ,8
8,2352,Solid Purple,Red,White Tech,Yellow Hoodie,Yellow Hoodie,None,None,Feminine ,9
9,1799,Green,Island Sunset,Wood,Gray Convex Cap,Spy Outfit 1,Leopard Face Bandana,Leopard Face Bandana,Masculine,10
10,777,Electronic Red,Blue Abstract,Dark Blue,White Sea Captain,White Coat,None,None,Masculine,11
11,2417,Black,Cosmos 2,Red Tech,Sky Blue Bucket Hat,Black & Red Suit,None,None,Masculine,12
12,3087,Reptile Yellow,Blue Abstract,White & Black,Blue Hoodie,Blue Hoodie,Gold Chain,Gold Necklace,Feminine ,13
13,2694,Solid Purple,Green,Gold & Silver Tech,Brown Fedora,Black Coat,None,None,Feminine ,14
14,1606,Corrupted 4,Blue Grid,Wood Tech,White Bucket Hat,Red & Gold Coat,Fancy Moustache,Gold Hoop Earrings,Masculine,15
15,3291,Blue & Black,Plum,Black Tech,Black Beanie,Black & Red Suit,None,None,Feminine ,16
16,3214,Solid Red,Purple,White,Red Beret,Gray Trenchcoat,Fancy Moustache,Gold Hoop Earrings,Feminine ,17
17,2693,Black,Purple,Green Tech,Pink Hoodie,Pink Hoodie,None,None,Masculine,18
18,2382,Convex Orange,Green Grid,Dark Blue,Blue Army Helmet,Gray Trenchcoat & Turtleneck,None,None,Feminine ,19
19,1115,Electronic Blue,Blue Abstract,Black,Brown Fedora,Blue Leather Jacket ,Blue Matrix Glasses,Blue Matrix Glasses,Feminine ,20
20,2172,Solid Red,Red Grid,Red & Silver,White Hoodie,White Hoodie,None,None,Feminine ,21
21,307,Solid White,Gray,White & Black,Raspberry Beret,Checkered Peacoat,None,None,Feminine ,22
22,2662,Brown,Orange,Silver Tech,Blue HonestNFT Cap,White Coat,None,None,Feminine ,23
23,3032,Solid Black,Deep Fried Abstract,Blue Tech,Black Hoodie,Black Hoodie,None,None,Feminine ,24
24,1900,Corrupted Static,Gray,Wood,Black Beret,Red & Gold Coat,None,None,Feminine ,25
25,2416,Black,Desert,White Tech,Sand Camo Beanie,Red & Gold Coat,None,None,Feminine ,26
26,1058,Corrupted Static,Cosmos 2,Silver,Gray Beanie,Navy Peacoat 1,Red Face Bandana,Red Face Bandana,Feminine ,27
27,1417,Solid Red,Green Grid,White,Pilot Cap,Pink Jacket,Heavy Moustache,HonestNFT Earrings,Masculine,28
28,3651,Solid White,Cosmos 2,Silver Tech,Silver Crown,Yellow Jacket,Leopard Face Bandana,Leopard Face Bandana,Masculine,29
29,2124,Solid Pink,Deep Fried Abstract,Silver,Pilot Cap,Green Jacket,Heavy Moustache,HonestNFT Earrings,Feminine ,30
30,484,Corrupted 3,Red Grid,Dark Blue Tech,Navy Hoodie,Navy Hoodie,Dark Sunglasses,Dark Sunglasses,Feminine ,31
31,165,Blue,Cosmos 1,Silver & Black Tech,Red Beanie,Navy Peacoat 1,None,None,Masculine,32
32,1326,Synth Red,Cosmos 1,Silver,Navy Hoodie,Navy Hoodie,Goatee,Hair Flower,Masculine,33
33,2632,Solid White,Hacker Room Red,Black Tech,White Cap,Navy Coat,None,None,Feminine ,34
34,1420,Solid Yellow,Spaceship,Green Tech,Black Bucket Hat,Black & Red Suit,None,None,Masculine,35
35,1944,Solid Red,Peach,Silver & Black,Camo Beret,Black Leather Jacket,Lincoln Beard,Pearl Necklace,Masculine,36
36,159,Electronic Red,Peach,Dark Blue Tech,Blue Beanie,Green Jacket,Brown Face Bandana,Brown Face Bandana,Feminine ,37
37,2648,Binary Green,Green Grid,Blue,White Bucket Hat,Spiked Red Leather Jacket,Heavy Moustache,HonestNFT Earrings,Masculine,38
38,2940,Convex Blue & White,Brown,Gold,White Sea Captain,Navy Peacoat 1,Stubble,Colorful Earrings,Feminine ,39
39,1085,Solid Black,Light Yellow,Dark Blue Tech,Navy Hoodie,Navy Hoodie,None,None,Feminine ,40
40,2340,Corrupted 1,Cosmos 2,Black Tech,Black Fedora,Red Leather Jacket,None,None,Feminine ,41
41,3549,Blue,Cosmos 1,Blue,Blue Sea Captain,Navy Peacoat 1,None,None,Masculine,42
42,1387,Green,Cosmos 2,White & Black,Pilot Cap w/ Goggles,Black Leather Jacket,Brown Face Bandana,Brown Face Bandana,Feminine ,43
43,791,Corrupted Static,Cosmos 1,Red Tech,Light Blue ETH Cap,Khaki Jacket,None,None,Masculine,44
44,803,Green,Cosmos 1,Silver & Black,Pilot Cap w/ Goggles,Spy Outfit 1,Surgical Mask,Surgical Mask,Feminine ,45
45,1713,Synth,Cosmos 1,White & Black Tech,Camo Beanie,Yellow Jacket,Stubble,Colorful Earrings,Feminine ,46
46,2283,Solid Yellow,Light Blue,Gold & Black,Blue HonestNFT Cap,Brown Peacoat,None,None,Feminine ,47
47,2182,Solid Green,Cosmos 1,Wood Tech,Pilot Cap,Blue Suit,None,None,Masculine,48
48,1677,Convex Blue & Red,Light Blue,Wood Tech,Pilot Cap w/ Goggles,Spiked Red Leather Jacket,Blue Camo Face Bandana,Blue Camo Face Bandana,Feminine ,49
49,3310,Solid White,Hacker Room Red,Silver & Black Tech,Black Beret,Spiked Red Leather Jacket,None,None,Masculine,50
50,2877,Solid Purple,Cosmos 2,White & Black Tech,Black Beanie,Gray Trenchcoat & Turtleneck,None,None,Masculine,51
51,2612,Solid Yellow,Hacker Room Blue,Silver & Black,Raspberry Beret,Brown Peacoat,None,None,Feminine ,52
52,2536,Binary Blue,Pink,Green Tech,Pilot Cap,Tuxedo,None,None,Feminine ,53
53,1421,Synth Red,Cityscape Neon Blue,Blue,Camo Beanie,Pink Jacket,Camo Face Bandana,Camo Face Bandana,Feminine ,54
54,1197,Solid Blue,Cosmos 2,Silver,Sand Camo Beanie,Gray Trenchcoat,None,None,Masculine,55
