,IPFS Hash of Shuffler Code:,QmTeD5Tui3jXv4YYKg1pkvzWxd41Mwt7KHGFzQP3zVo5ZS,,,,,,
Image_Number,Eyes,Background,Masks,Headgear,Outfit,Accessory_M,Accessory_F,Gender
1,Green,Blue Grid,Gold,Blue Sea Captain,Checkered Peacoat,None,None,Feminine 
2,Corrupted 2,Glitched,Gold,Raspberry Beret,Blue Leather Jacket ,None,None,Feminine 
3,Electronic Blue,Cosmos 2,Silver,Black Fedora,White Coat,None,None,Feminine 
4,Binary Pink,Green,Black Tech,Blue Hoodie,Blue Hoodie,Black Face Bandana,Black Face Bandana,Masculine
5,Binary Blue,Deep Fried Abstract,Gold Tech,Red BTC Cap,Brown Suit,None,None,Masculine
6,Binary Pink,Orange,Gold,Camo Beanie,Black & Red Suit,None,None,Feminine 
7,Binary Pink,Glitched,Dark Blue,Raspberry Beret,Spy Outfit 2,None,None,Feminine 
8,Binary Blue,Yellow,Silver,Black Beret,Gray Trenchcoat & Turtleneck,None,None,Masculine
9,Corrupted 1,Cosmos 1,Gold & Black,White Bucket Hat,Red & Gold Coat,Gold Chain,Gold Necklace,Masculine
10,Blue & Black,Sky Blue,Gold Tech,Silver Crown,Navy Peacoat 1,None,None,Masculine
11,Solid Yellow,Cosmos 2,Red & Silver Tech,Sky Blue Bucket Hat,Patterned Navy Peacoat,None,None,Masculine
12,Solid White,Cosmos 2,Gold,Sky Blue Bucket Hat,Red & Gold Coat,None,None,Masculine
13,Electronic Blue,Deep Fried Abstract,Gold Tech,Red Beanie,Brown Suit,None,None,Masculine
14,Brown,Deep Fried Abstract,Black,Green Army Helmet,Navy Jacket,None,None,Masculine
15,Blue,Red Grid,White,Green Camo Bucket Hat,Opera Tux,None,None,Masculine
16,Brown,Yellow,Green Tech,Red Hoodie,Red Hoodie,None,None,Masculine
17,Solid Red,Cosmos 2,Blue,White Hoodie,White Hoodie,None,None,Masculine
18,Solid Purple,Cosmos 2,Dark Blue Tech,Brown Army Helmet w/ Goggles,Prison Outfit 4,Camo Face Bandana,Camo Face Bandana,Masculine
19,Solid Yellow,Ruby,Black Tech,Blue Hoodie,Blue Hoodie,None,None,Feminine 
20,Binary Green,Green Grid,Green Tech,Black Fedora,Patterned Navy Peacoat,None,None,Masculine
21,Solid Yellow,Cosmos 2,Gold & Black,Brown Fedora,Green Peacoat,None,None,Feminine 
22,Corrupted 2,Cosmos 1,Gold & Silver,Green Cap,Lab Coat 2,Red Face Bandana,Red Face Bandana,Feminine 
23,Green,Glitched,Black,Navy Hoodie,Navy Hoodie,Leopard Face Bandana,Leopard Face Bandana,Masculine
24,Solid Blue,Light Blue,Silver Tech,Leopard Bucket Hat,Lab Coat 1,White Glasses,White Glasses,Feminine 
25,Brown,Cosmos 1,Silver & Black,Red Beret,Green Jacket,None,None,Masculine
26,Black,Red Grid,Blue Tech,Blue Beanie,Lab Coat 2,Red Horns,Red Horns,Masculine
27,Solid White,Deep Fried Abstract,Blue,Sand Camo Beanie,Light Blue Suit,Brown Face Bandana,Brown Face Bandana,Masculine
28,Binary Pink,Green Grid,Black,Red Beret,Lab Coat 2,None,None,Feminine 
29,Synth,Green Light,Gold,Red Hoodie,Red Hoodie,Halo,Halo,Feminine 
30,Black,Cosmos 1,Gold & Black,White Cap,Lab Coat 1,None,None,Masculine
31,BTC Blue & Gold,Cosmos 1,White Tech,Red Beanie,Navy Coat,None,None,Masculine
32,Solid Green,Cosmos 2,Wood,Pink Tie Dye Bucket Hat,Red & Gold Coat,None,None,Feminine 
33,Binary Green,Blue Grid,Black Tech,White Hoodie,White Hoodie,Dali Moustache,Gold Geometric Earrings,Masculine
34,Brown,Green Grid,Blue,Gray Convex Cap,Yellow Jacket,None,None,Feminine 
35,Solid Black,Green Grid,Dark Blue Tech,Seaman Hat,Spiked Black Leather Jacket,Angel & Devil on Shoulders,Angel & Devil on Shoulders,Feminine 
36,Solid Black,Deep Fried Abstract,Gold,Brown Army Helmet w/ Goggles,Green Jacket,None,None,Masculine
37,Blue,Pink,Dark Blue Tech,Sand Camo Bucket Hat,White Coat,White Glasses,White Glasses,Feminine 
38,Blue,Blue Abstract,Silver,Black HonestNFT Cap,Black Trenchcoat & Tie,Horns,Horns,Masculine
39,Solid White,Red Grid,Red,Purple Cap,Blue Suit,Heavy Moustache,HonestNFT Earrings,Feminine 
40,Green,Hacker Room Blue,Silver,White Bucket Hat,Patterned Navy Peacoat,None,None,Masculine
41,Synth,Deep Fried Abstract,Gold Tech,Gray ETH Cap,Khaki Jacket,None,None,Feminine 
42,Solid Green,Green,Gold Tech,Raspberry Beret,Opera Tux,None,None,Masculine
43,Solid Yellow,Yellow,White Tech,Raspberry Beret,Lab Coat 3,None,None,Feminine 
44,Blue Laser,Cosmos 1,White Tech,Green Army Helmet,Spiked Leather Jacket,None,None,Masculine
45,Solid Black,Blue Abstract,Gold & Silver,Sand Camo Bucket Hat,Gray Trenchcoat & Turtleneck,None,None,Masculine
46,Blue Laser,Cosmos 1,Red,Pink Hoodie,Pink Hoodie,None,None,Feminine 
