Number,Eyes,Backgrounds,m_mask,m_headgear,m_outfit,m_accessories,f_mask,f_headgear,f_outfit,f_accessories,Gender
1,Green,Grid_Blue,Gold_Base,Sea_Captain_Blue,Peacoat_Checkered,None,Female_Gold_Base,Sea_Captain_Blue,Peacoat_Checkered,None,female
2,Corrupted_2,Glitched,Gold_Base,Beret_Raspberry,Leather_Jacket_Blue,None,Female_Gold_Base,Beret_Raspberry,Leather_Jacket_Blue,None,female
3,Electronic_Blue,Cosmos2,Silver_Base,Fedora_Black,White_Coat,None,Female_Silver_Base,Fedora_Black,White_Coat,None,female
4,Binary_Pink,Green,Black_Tech_Base,Hoodie_Blue,None,Cowboy_Face_Bandana_Black,Female_Black_Tech_Lipstick,Hoodie_Blue,None,Cowboy_Face_Bandana_Black,male
5,Binary_Blue,Deep_Fried_Abstract_Background,Gold_Tech_Base,Cap_BTC_Red,Suit_Brown,None,Female_GoldBase_Tech,Cap_BTC_Red,Suit_Brown,None,male
6,Binary_Pink,Orange,Gold_Base,Beanie_Camo,Suit_BlackRed,None,Female_Gold_Base,Beanie_Camo,Suit_BlackRed,None,female
7,Binary_Pink,Glitched,DarkBlue_Base,Beret_Raspberry,SpyOutfit2,None,Female_DarkBlue_Base,Beret_Raspberry,SpyOutfit2,None,female
8,Binary_Blue,Yellow,Silver_Base,Beret_Black,Trenchcoat_Turtleneck,None,Female_Silver_Base,Beret_Black,Trenchcoat_Turtleneck,None,male
9,Corrupted_1,Cosmos1,Gold_Black_Base,Bucket_Hat_White,Red_Gold_Coat,Chain_Gold,Female_Gold_Black_Base,Bucket_Hat_White,Red_Gold_Coat,Chain_Pendant_Gold,male
10,Blue_Black,SkyBlue,Gold_Tech_Base,Crown_Silver,Peacoat_Navy,None,Female_GoldBase_Tech,Crown_Silver_F,Peacoat_Navy,None,male
11,Yellow_Fill,Cosmos2,Red_Silver_Tech_Base,Bucket_Hat_Sky,Peacoat_Navy_Patterned,None,Female_Silver_Red_Tech_Base,Bucket_Hat_Sky,Peacoat_Navy_Patterned,None,male
12,White_Eyes,Cosmos2,Gold_Base,Bucket_Hat_Sky,Red_Gold_Coat,None,Female_Gold_Base,Bucket_Hat_Sky,Red_Gold_Coat,None,male
13,Electronic_Blue,Deep_Fried_Abstract_Background,Gold_Tech_Base,Beanie_Red,Suit_Brown,None,Female_GoldBase_Tech,Beanie_Red,Suit_Brown,None,male
